X,Y,OBJECTID,key_crash,DateOfCrash,LocalUse,LocationRelationToRoad,LocationInNearIndicator,LocationCity,LocationCounty,LocationRoadNameOn,LocationFeetFromRoad,LocationDirectionFromRoad,LocationAtFromIndicator,LocationRoadNameAt,LocationDirectionToRoad,LocationRoadNameTo,FirstHarmfulEvent,MostHarmfulEvent,RoadClassification,RoadFeature,TrafficControlType,WeatherCondition1,WeatherCondition2,WeatherContributedToCrash,UpdateDate,Crash_Date_Day,Crash_Date_DOW,Crash_Date_DOW_Num,Crash_Date_Hour,Crash_Date_Month,Crash_Date_Month_Num,Crash_Date_Year,drivers,passengers,pedestrians,pedalcyclists,other_person_type,unknown_person_type,killed,type_a_injury,type_b_injury,type_c_injury,no_injury,injury_unknown,LocationLatitude,LocationLongitude
-78.6838999997408,35.745499999693,6234,128198,2015/04/14 03:52:00+00,P15019573,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,TRAILWOOD HILLS DR,30,N,From,BARRYMORE ST,N,RAINFORD CT.,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/04/15 22:20:00.486+00,13,Monday,2,19,April,4,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7455,-78.6839
-78.7351999999411,35.9195000003164,6299,128264,2015/04/13 23:38:00+00,P15019524,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,LEESVILLE RD,0,,At,RENFIELD DR,E,SEDGEFIELD DR,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,No control present,Clear,,No,2015/04/22 21:20:00.130+00,13,Monday,2,15,April,4,2015,1,1,0,1,0,0,0,0,0,0,3,0,35.9195,-78.7352
-78.6253999998432,35.8289999998563,6400,128365,2015/04/13 00:39:00+00,P15019331,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NAVAHO DR,721,E,From,QUAIL HOLLOW DR,E,WAKE  FOREST RD,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/04/29 18:40:00.592+00,12,Sunday,1,16,April,4,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.829,-78.6254
-78.6919000004024,35.7848999998217,6551,128519,2015/04/18 07:47:00+00,P15020460,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,WESTERN  BLVD,100,W,From,GORMAN SREET,W,CLANTON ST,Angle,Angle,Local Street,No Special Feature,No control present,Clear,,No,2015/04/20 19:40:03.059+00,17,Friday,6,23,April,4,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7849,-78.6919
-78.6392999996454,35.7762999998436,6568,128537,2015/04/18 19:26:00+00,P15020548,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,FAYETTEVILLE ST,200,S,From,MARTIN ST,S,DAVIE ST,"Rear end, slow or stop","Rear end, slow or stop",Local Street,No Special Feature,No control present,Clear,,No,2015/04/29 17:40:00.710+00,18,Saturday,7,11,April,4,2015,1,0,0,1,0,0,0,0,0,0,2,0,35.7763,-78.6393
-78.637999999987,35.8640000002867,6885,128857,2015/04/23 00:12:00+00,P15021399,Outside Trafficway,In,RALEIGH,Wake,6131 SIX FORKS RD,100,S,From,LYNN RD,S,SANDY FORKS RD,Pedalcyclist,Pedalcyclist,Public Vehicular Area,"Driveway, private",No control present,Clear,,No,2015/04/24 18:40:00.032+00,22,Wednesday,4,16,April,4,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.864,-78.638
-78.628699999667,35.7602000001826,7002,128978,2015/04/25 10:01:00+00,P15021915,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,GARNER RD,100,S,From,SAINTS AVE,S,PETERSON ST,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/04/30 18:20:00.236+00,25,Saturday,7,2,April,4,2015,0,0,0,1,0,1,0,0,1,0,0,1,35.7602,-78.6287
-78.5960000001066,35.8190999997214,7090,129067,2015/04/25 02:32:00+00,P15021853,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,BRENTWOOD RD,0,,At,CAPITAL  BLVD,,,Pedalcyclist,Pedalcyclist,Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/05/06 17:40:00.187+00,24,Friday,6,18,April,4,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8191,-78.596
-78.7109999997363,35.8517000002081,7604,129588,2015/05/04 21:07:00+00,P15023728,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,SHARPE DR,0,,At,DURALEIGH RD,,,Pedalcyclist,Pedalcyclist,Local Street,"Driveway, public",No control present,Clear,,No,2015/05/13 18:20:00.072+00,4,Monday,2,13,May,5,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8517,-78.711
-78.6157000003884,35.7819999999959,7945,129934,2015/05/09 03:31:00+00,P15024662,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,PENDER ST,0,,At,N CARVER ST,E,N FISHER ST,Angle,Angle,Local Street,No Special Feature,Stop sign,Clear,,No,2015/05/12 00:40:00.836+00,8,Friday,6,19,May,5,2015,1,1,0,1,0,0,0,0,0,0,3,0,35.782,-78.6157
-78.630899999849,35.7655999999646,8097,130087,2015/05/11 20:10:00+00,P15025128,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,BRAGG ST,5,S,From,BRAGG ST,S,MCMAKIN DR,"Sideswipe, same direction","Sideswipe, same direction",Local Street,No Special Feature,No control present,Cloudy,,No,2015/05/12 18:40:00.480+00,11,Monday,2,12,May,5,2015,1,0,0,1,0,0,0,0,1,1,0,0,35.7656,-78.6309
-78.60399999987,35.8340000000523,8113,130103,2015/05/08 03:21:00+00,P15024438,Outside Trafficway,In,RALEIGH,Wake,2501 NEW HOPE CHURCH R,,W,From,ATLANTIC  AVE,W,WAKE  FOREST RD,Pedalcyclist,Pedalcyclist,Public Vehicular Area,"Driveway, private",No control present,Clear,,No,2015/05/18 17:40:02.029+00,7,Thursday,5,19,May,5,2015,1,0,0,1,0,0,0,1,0,0,1,0,35.834,-78.604
-78.5864999997701,35.8192000002232,8860,130868,2015/05/24 05:40:00+00,P15027735,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,TRAWICK RD,0,,At,EDGETONE DR,E,SHERRY DR,"Sideswipe, opposite direction","Sideswipe, opposite direction",Local Street,No Special Feature,Stop sign,Clear,,No,2015/05/26 19:40:00.900+00,23,Saturday,7,21,May,5,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8192,-78.5865
-78.5865,35.8192,8862,130870,2015/05/24 07:20:00+00,P15027754,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,TRAWICK RD,0,,At,EDGETONE DR,W,STONYBROOK DR,Pedestrian,Pedestrian,Local Street,No Special Feature,No control present,Clear,NaN,No,2021/01/29 19:29:59.937+00,24,Sunday,1,3,May,5,2015,1,1,,1,,0,0,0,1,0,2,0,35.8192,-78.5865
-78.6141000002561,35.7547999998158,9675,131699,2015/06/06 22:44:00+00,P15030505,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,1601 CROSSLINK RD,200,S,From,CROSS LINK RD,N,40,Other collision with vehicle*,Other collision with vehicle*,,,,Clear,,No,2015/06/16 21:19:59.996+00,6,Saturday,7,14,June,6,2015,1,3,0,1,0,0,0,0,0,0,5,0,35.7548,-78.6141
-78.6304000002568,35.8515999998869,10365,132398,2015/06/16 16:36:00+00,P15032669,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,E MILLBROOK RD,0,,At,SWEETBRIAR DR,E,CEADARWOOD DR,Pedalcyclist,Pedalcyclist,Local Street,Four-way intersection,Stop sign,Clear,,No,2015/06/18 17:40:00.130+00,16,Tuesday,3,8,June,6,2015,1,0,0,1,0,0,0,1,0,0,1,0,35.8516,-78.6304
-78.64249999991,35.8439999996847,10454,132488,2015/06/18 01:30:00+00,P15032845,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NORTHBROOK DR,5,W,From,SIX FORK RD,W,TERRY ST,"Right turn, different roadways","Right turn, different roadways",Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/06/24 17:40:00.387+00,17,Wednesday,4,17,June,6,2015,0,0,0,1,0,1,0,0,1,0,1,0,35.844,-78.6425
-78.6504999996734,35.7808999999537,10581,132615,2015/06/20 17:55:00+00,P15033388,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HILLSBOROUGH ST,0,,At,ST MARYS STREET,E,BOYLAN AVE,"Left turn, same roadway","Left turn, same roadway",Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/06/24 18:40:00.710+00,20,Saturday,7,9,June,6,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7809,-78.6505
-78.6985000000499,35.8905999997944,10651,132685,2015/06/20 19:35:00+00,P15033599,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,RAY RD,30,SE,From,ANDREA LN,SE,KNEBWORTH CT,"Sideswipe, same direction","Sideswipe, same direction",Local Street,No Special Feature,No control present,Clear,,No,2015/06/22 19:40:13.670+00,20,Saturday,7,11,June,6,2015,1,0,0,1,0,0,0,0,1,0,0,0,35.8906,-78.6985
-78.6487999999819,35.7691000002211,10789,132825,2015/06/24 18:41:00+00,P15034136,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,LAKE WHEELER RD,213,W,From,S SAUNDERS ST,W,HAMMELL DR,Other non-collision*,Other non-collision*,Local Street,No Special Feature,No control present,Clear,,No,2015/06/25 18:58:29.256+00,24,Wednesday,4,10,June,6,2015,0,0,0,1,0,0,0,0,1,0,0,0,35.7691,-78.6488
-78.5939999999412,35.8308000003595,10913,132950,2015/06/26 03:24:00+00,P15034446,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HUNTLEIGH DR,5,S,From,INGRAM RD,S,YORKSHIRE CT,Angle,Angle,Local Street,No Special Feature,No control present,Clear,,No,2015/06/30 18:40:00.566+00,25,Thursday,5,19,June,6,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8308,-78.594
-78.5933999998916,35.8201999997706,11003,133040,2015/06/27 22:19:00+00,P15034764,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,CAPITAL BLVD,545,SW,From,HUNTLEIGH DR,SW,BRENTWOOD RD,"Sideswipe, same direction","Sideswipe, same direction",Local Street,No Special Feature,No control present,Cloudy,,No,2015/07/07 17:40:02.127+00,27,Saturday,7,14,June,6,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8202,-78.5934
-78.6616000001422,35.760800000036,11219,133258,2015/07/01 02:12:00+00,P15035390,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,CENTENNIAL  PKWY,3,NW,From,LAKE WHEELER RD,NE,FARMERS MARKET DR,Pedalcyclist,Pedalcyclist,Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/07/09 20:20:01.637+00,30,Tuesday,3,18,June,6,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7608,-78.6616
-78.6100000003662,35.7929999997366,11444,133485,2015/07/04 22:16:00+00,P15036137,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,1100 N RALEIGH BLVD,20,N,From,GLASCOCK RD,N,BURGUNDY ST,Head on,Head on,Public Vehicular Area,"Driveway, public",No control present,Rain,,No,2015/07/06 18:40:02.147+00,4,Saturday,7,14,July,7,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.793,-78.61
-78.6225999996117,35.8940000002845,11562,133605,2015/07/07 01:05:00+00,P15036502,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HONEYCUTT RD,5,NW,From,FALLS OF NEUSE RD,NW,RUE MONET RD,Pedalcyclist,Pedalcyclist,Local Street,Related to intersection,Stop and go signal,Clear,,No,2015/07/13 19:20:02.013+00,6,Monday,2,17,July,7,2015,1,0,0,1,0,0,0,0,0,0,2,0,35.894,-78.6226
-78.6390999996288,35.8683999996515,11995,134043,2015/07/13 02:14:00+00,P15037941,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,SIX FORKS RD,0,,At,ACACIA RD,S,LYNN RD,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,No control present,Clear,,No,2015/07/15 18:40:02.299+00,12,Sunday,1,18,July,7,2015,1,0,0,1,0,0,0,0,0,0,1,0,35.8684,-78.6391
-78.6214999999698,35.8246999999002,12246,134299,2015/07/18 01:49:00+00,P15038819,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,440,20,S,From,440,S,WAKE TOWNE DR,Pedalcyclist,Pedalcyclist,Interstate,On-ramp entry,Stop and go signal,Clear,,No,2015/07/20 18:40:03.119+00,17,Friday,6,17,July,7,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8247,-78.6215
-78.6080999997599,35.8033000000962,12534,134596,2015/07/23 03:24:00+00,P15039729,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,RALEIGH BLVD,325,N,From,BARKSDALE DR,N,CRABTREE BLVD,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,Stop and go signal,Clear,,No,2015/07/24 18:40:02.697+00,22,Wednesday,4,19,July,7,2015,1,0,0,1,0,0,0,0,0,1,0,1,35.8033,-78.6081
-78.6489000004393,35.7862000003278,13317,135395,2015/08/04 05:47:00+00,P15042166,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,GLENWOOD AVE,0,,At,TUCKER ST,N,W JOHNSON ST,"Left turn, same roadway","Left turn, same roadway",Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/09/01 00:40:05.107+00,3,Monday,2,21,August,8,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7862,-78.6489
-78.5799999996817,35.8470000002362,13564,135647,2015/08/08 21:03:00+00,P15043095,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,CAPITAL  BLVD,,N,From,CALAVARY DR,N,N NEW HOPE RD,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/08/10 20:40:03.556+00,8,Saturday,7,13,August,8,2015,1,3,0,1,0,0,0,0,1,0,4,0,35.847,-78.58
-78.6392999996454,35.7753000000291,13722,135809,2015/08/11 21:57:00+00,P15043703,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,FAYETTEVILLE ST,10,S,From,DAVIE ST,S,LENOIR ST,"Sideswipe, same direction",Parked Motor Vehicle,Local Street,No Special Feature,No control present,Rain,Cloudy,Yes,2015/08/19 22:40:04.019+00,11,Tuesday,3,13,August,8,2015,2,0,0,1,0,0,0,0,0,0,2,0,35.7753,-78.6393
-78.6569999997618,35.7660000001874,14178,136270,2015/08/18 01:52:00+00,P15044969,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,BIGGS DR,0,,At,RUGGLES DR,S,GOODE ST,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/08/18 18:40:04.869+00,17,Monday,2,17,August,8,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.766,-78.657
-78.6143999998318,35.787600000189,14189,136281,2015/08/18 06:17:00+00,P15045017,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,MILBURNIE RD,0,,At,BOOKER DR,E,RALEIGH BLVD,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,No control present,Clear,,No,2015/08/19 17:40:04.392+00,17,Monday,2,22,August,8,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7876,-78.6144
-78.5925999998254,35.8476999996674,15001,137107,2015/08/29 18:10:00+00,P15047479,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HOYLE DR,10,S,From,MILLBROOK RD,S,MILLBOROUGH CT,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,Stop sign,Clear,,No,2015/09/14 17:40:05.717+00,29,Saturday,7,10,August,8,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8477,-78.5926
-78.54799999973,35.7945999997325,15156,137264,2015/09/01 04:12:00+00,P15047938,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,N ROGERS LN,0,,At,OLD US HWY 64,NE,SUNRISE VALLEY PL,Angle,Angle,Local Street,T-intersection,Stop sign,Clear,,No,2015/09/08 20:40:05.210+00,31,Monday,2,20,August,8,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7946,-78.548
-78.6795000002752,35.8728000000281,15259,137367,2015/09/02 23:37:00+00,P15048320,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,CREEDMOOOR RD,0,,At,LYNN  RD,N,CAMPUS DR,Angle,Angle,Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/09/03 18:20:05.190+00,2,Wednesday,4,15,September,9,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8728,-78.6795
-78.6459999997503,35.7370000002791,15518,137629,2015/09/06 01:16:00+00,P15049002,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,GLENWOOD AVE,250,N,From,W JOHNSON ST,N,W PEACE ST,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/09/09 18:40:06.369+00,5,Saturday,7,17,September,9,2015,1,4,0,1,0,0,0,0,1,0,5,0,35.737,-78.646
-78.639899999695,35.7787000001209,15589,137701,2015/09/06 02:13:00+00,P15049015,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HARGETT ST,0,,At,SALISBURY ST,E,FAYETTEVILLE ST,Pedalcyclist,Pedalcyclist,Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/09/08 22:40:05.627+00,5,Saturday,7,18,September,9,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7787,-78.6399
-78.6145000002892,35.7798999996927,15638,137750,2015/09/08 15:10:00+00,P15049410,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NEW  BERN AVE,318,E,From,STAR ST,E,N RALEIGH BLVD,Pedalcyclist,Pedalcyclist,Local Street,Four-way intersection,Stop and go signal,"Fog, smog, smoke",,No,2015/09/09 18:40:05.490+00,8,Tuesday,3,7,September,9,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7799,-78.6145
-78.6251000002676,35.8794999997394,16267,138389,2015/09/18 02:10:00+00,P15051407,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,FALLS  OF NEUSE RD,0,,At,NEWTON DR,N,HARPS MILL RD,Pedalcyclist,Pedalcyclist,Local Street,Y-intersection,Stop and go signal,Clear,,No,2015/09/18 19:40:05.397+00,17,Thursday,5,18,September,9,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8795,-78.6251
-78.6294999997332,35.7680000002844,16918,139051,2015/09/26 21:05:00+00,P15053270,Outside Trafficway,In,RALEIGH,Wake,PVA 505 CHAVIS WAY,250,W,From,CHAVIS WY,W,GARNER RD,Pedalcyclist,Pedalcyclist,Public Vehicular Area,No Special Feature,No control present,Rain,,No,2015/09/28 18:40:11.829+00,26,Saturday,7,13,September,9,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.768,-78.6295
-78.5640999997141,35.8949999998666,17777,139920,2015/10/07 03:23:00+00,P15055434,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,DURANT RD,0,,At,CAPITAL HILLS DR,W,GARVEY DR,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/10/07 18:40:07.973+00,6,Tuesday,3,19,October,10,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.895,-78.5641
-78.5650000002377,35.8090000002974,17803,139946,2015/10/02 22:21:00+00,P15054599,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NEW HOPE RD,0,,At,CHARNY DR,S,LIVE OAK RD,Pedalcyclist,Pedalcyclist,Local Street,T-intersection,Stop sign,Rain,Cloudy,Unknown,2015/10/07 19:40:06.147+00,2,Friday,6,14,October,10,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.809,-78.565
-78.6127000001403,35.8693000001824,17857,140001,2015/10/08 06:13:00+00,P15055693,Shoulder,In,RALEIGH,Wake,SPRING FOREST RD,530,W,From,RAINWATER DR,W,JADE TREE LN,"Sideswipe, same direction","Sideswipe, same direction",Local Street,No Special Feature,No control present,Clear,,No,2015/10/19 17:40:07.023+00,7,Wednesday,4,22,October,10,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8693,-78.6127
-78.6504999996734,35.7799999999933,17923,140070,2015/10/09 02:50:00+00,P15055870,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,W MORGAN ST,5,E,From,ST MARYS ST,E,S BOYLAN AVE,"Rear end, slow or stop","Rear end, slow or stop",Local Street,No Special Feature,No control present,Clear,,No,2015/10/13 19:40:06.673+00,8,Thursday,5,18,October,10,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.78,-78.6505
-78.6251999998267,35.8794999997394,17938,140085,2015/10/09 15:50:00+00,P15055936,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NEWTON RD,0,,At,FALLS OF NEUSE RD,E,STAGHORN LN,"Right turn, different roadways","Right turn, different roadways",Local Street,T-intersection,Stop and go signal,Clear,,No,2015/11/13 19:40:09.423+00,9,Friday,6,7,October,10,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8795,-78.6252
-78.6807999999335,35.75149999978,18078,140225,2015/10/11 18:28:00+00,P15056407,Outside Trafficway,In,RALEIGH,Wake,ORCHARD HOLLOW LANE,100,E,From,STERLING PARK DRIVE,E,SIERRA DRIVE,Pedalcyclist,Pedalcyclist,Public Vehicular Area,"Driveway, private",No control present,Clear,,No,2015/10/14 19:40:06.740+00,11,Sunday,1,10,October,10,2015,1,0,0,1,0,0,0,0,0,0,1,0,35.7515,-78.6808
-78.6428999999431,35.8532000000862,18176,140324,2015/10/08 23:00:00+00,P15055842,Outside Trafficway,In,RALEIGH,Wake,5265 SIX FORKS RD,50,S,From,WINDEL DR,S,CRESTVIEW RD,Pedalcyclist,Pedalcyclist,Public Vehicular Area,No Special Feature,No control present,Clear,,No,2015/10/22 18:20:06.953+00,8,Thursday,5,15,October,10,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8532,-78.6429
-78.6043999999031,35.8645000003234,18357,140507,2015/10/13 15:05:00+00,P15056760,Outside Trafficway,In,RALEIGH,Wake,2201 SPRING FOREST RD,0,,At,QUAIL RIDGE RD,E,DIXIE FOREST RD,Pedalcyclist,Pedalcyclist,Public Vehicular Area,No Special Feature,Stop and go signal,Clear,,No,2015/10/22 17:40:07.233+00,13,Tuesday,3,7,October,10,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8645,-78.6044
